CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"40,927","-10,181","3,81,919",12.92,226.70,25.80,260,226.70,227.15,195,"25,100.00","1,170",66.00,66.15,"1,755",-56.85,66.00,10.72,"22,33,067","17,922","94,211",
,"30,987","-3,064","4,26,748",12.59,191.90,19.25,520,192.05,192.45,390,"25,150.00","1,625",81.10,81.30,260,-61.95,81.35,10.48,"18,94,498","23,148","64,068",
,"1,07,837","19,685","19,44,081",12.27,160.60,15.00,"1,755",160.20,160.55,650,"25,200.00","1,365",99.55,99.75,130,-66.45,99.60,10.35,"38,70,481","53,240","1,39,290",
,"68,282","34,580","15,27,118",12.04,132.15,10.35,455,131.90,132.15,455,"25,250.00",260,120.75,121.00,390,-70.35,120.80,10.12,"23,59,039","23,738","46,407",
,"1,66,252","76,070","32,65,396",11.92,107.35,7.50,"1,755",107.40,107.65,130,"25,300.00",130,145.85,146.15,715,-74.20,145.85,9.90,"34,38,727","32,442","84,117",
,"78,207","43,546","21,64,067",11.82,86.45,4.10,65,86.20,86.35,585,"25,350.00",390,174.80,175.00,130,-76.55,174.80,9.64,"16,36,648","19,046","33,712",
,"1,74,053","92,798","33,06,312",11.82,68.65,2.00,585,68.80,68.85,65,"25,400.00",65,206.90,207.10,910,-79.60,206.95,9.22,"19,43,736","16,579","46,241",
,"75,894","28,070","18,23,766",11.83,54.40,0.85,130,54.25,54.35,"1,365","25,450.00",390,242.15,242.70,260,-82.65,242.70,8.92,"5,16,030","8,448","14,853",
,"2,20,449","45,524","30,51,905",11.90,42.85,0.15,"3,250",42.80,42.95,"4,290","25,500.00",65,281.00,281.10,195,-81.50,281.25,8.48,"6,79,383","4,704","54,943",
,"57,872","20,442","11,96,653",11.98,33.70,-0.70,"1,560",33.60,33.70,"2,860","25,550.00",195,321.10,321.80,65,-81.45,323.20,8.54,"94,343","1,285","5,379",
,"1,25,975","24,920","17,03,700",12.13,26.70,-0.85,"5,005",26.55,26.60,390,"25,600.00",325,363.65,364.40,65,-85.15,364.25,6.15,"1,44,813","6,736","30,705",
,"50,462","15,975","9,28,804",12.30,21.05,-1.20,"4,680",21.05,21.15,"8,580","25,650.00",195,408.50,409.50,260,-84.95,410.85,-,"20,568",-719,"4,154",
,"1,22,129","27,124","13,66,449",12.49,16.70,-1.00,"3,380",16.70,16.75,"7,605","25,700.00",195,453.50,454.60,65,-83.80,457.65,-,"50,428","-1,486","22,634",
,"53,343","2,358","7,29,226",12.80,13.90,-0.60,"3,380",13.80,13.85,"3,120","25,750.00",585,499.00,503.15,650,-80.90,505.30,-,"8,895",-464,"3,440",
,"1,19,368","2,573","12,39,109",13.09,11.45,-0.40,"15,405",11.40,11.50,"14,105","25,800.00",195,547.90,549.35,195,-82.20,548.80,-,"28,797","-2,785","26,331",
