CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"50,192","32,480","19,85,613",10.67,78.70,-167.35,325,78.35,78.70,65,"25,150.00",195,137.35,137.80,260,83.80,137.35,9.16,"45,99,394","-17,220","31,558",
,"1,45,127","94,965","46,83,019",10.51,59.25,-148.20,325,59.10,59.50,65,"25,200.00",130,167.55,168.30,260,102.00,168.30,8.94,"81,93,074","-63,209","51,803",
,"79,800","52,137","40,97,020",10.65,45.80,-128.70,845,45.70,45.85,65,"25,250.00",260,203.60,204.50,195,121.10,204.70,8.88,"60,30,720","-17,574","22,103",
,"2,03,144","1,13,833","76,54,461",10.87,35.55,-110.20,520,35.45,35.70,"1,170","25,300.00",260,242.65,243.75,260,143.70,243.85,8.74,"73,07,436","-28,356","67,116",
,"1,13,605","68,300","46,63,632",11.11,27.60,-92.00,910,27.35,27.70,"1,560","25,350.00",455,284.60,285.75,65,169.00,286.70,8.71,"25,62,238","-13,555","17,547",
,"1,74,012","55,398","56,35,741",11.31,21.15,-74.75,"2,730",21.15,21.30,130,"25,400.00",455,328.15,329.60,260,185.55,329.60,8.10,"18,02,341","-17,189","28,074",
,"79,139","29,287","28,01,978",11.65,16.80,-58.40,650,16.65,16.80,585,"25,450.00",260,373.65,375.65,260,203.15,377.10,8.15,"4,35,218","-5,603","6,812",
,"2,59,063","83,205","48,74,867",11.94,13.15,-45.15,260,13.15,13.30,845,"25,500.00",260,420.15,422.50,260,212.85,419.45,-,"6,09,799","-13,736","42,368",
,"80,219","34,180","19,21,164",12.29,10.55,-34.10,"1,170",10.80,10.95,130,"25,550.00",715,466.35,472.05,520,233.50,474.50,8.22,"69,516","-1,715","3,533",
,"1,33,016","20,923","27,53,197",12.80,9.00,-24.90,455,9.00,9.15,"1,495","25,600.00",260,515.15,518.40,260,241.15,518.20,-,"1,28,874","-10,235","16,274",
,"70,272","31,805","14,13,045",13.34,7.85,-17.65,975,7.85,8.00,"2,535","25,650.00",455,560.30,570.35,520,247.00,571.00,-,"15,310","-1,262","2,487",
,"1,55,578","56,188","21,85,595",13.81,6.70,-12.45,455,6.65,6.80,260,"25,700.00",260,610.85,617.30,520,252.75,615.10,-,"38,087","-3,661","18,007",
,"56,669","3,878","11,47,022",14.49,6.25,-8.45,"1,365",6.00,6.10,195,"25,750.00",65,657.80,667.95,260,243.00,669.35,-,"5,721",-384,"2,885",
,"1,52,267","17,474","17,53,110",14.99,5.50,-5.70,715,5.50,5.60,"3,120","25,800.00",520,710.25,715.00,260,258.00,714.70,-,"18,936","-4,933","20,301",
,"46,869","6,480","9,64,817",15.53,4.95,-4.00,"1,040",4.85,5.00,"1,040","25,850.00",260,761.75,767.00,65,252.90,767.50,-,"2,997","-1,219","2,124",
,"1,07,663","5,147","12,32,230",16.00,4.35,-2.65,910,4.35,4.40,65,"25,900.00",65,810.00,823.15,195,271.50,817.50,-,"8,129","-3,925","9,217",
,"31,294","-4,135","5,83,004",16.69,4.20,-1.75,260,4.10,4.15,"1,040","25,950.00",65,853.30,871.40,780,276.15,872.15,-,"1,482",-252,"1,656",
,"2,50,302","29,302","18,09,906",17.09,3.65,-1.45,650,3.65,3.75,455,"26,000.00",65,911.00,916.60,65,264.40,917.00,-,"30,430","-12,770","50,921",
,"39,760","12,267","4,80,853",17.70,3.45,-0.80,"2,860",3.35,3.50,"1,235","26,050.00",65,936.80,976.50,65,290.70,973.75,14.86,825,-48,"1,345",
,"1,04,847","17,087","9,61,564",18.29,3.25,-0.35,"7,215",3.25,3.40,"1,755","26,100.00",65,"1,008.05","1,014.95",325,277.75,"1,017.10",-,"5,251","-1,494","17,676",
,"29,341","7,066","3,72,027",18.99,3.20,-0.05,65,3.15,3.25,260,"26,150.00",65,"1,060.00","1,076.30",390,290.10,"1,068.00",-,817,-428,"1,402",
,"1,24,058","9,224","8,98,345",19.58,3.05,0.15,"46,345",3.05,3.10,975,"26,200.00",65,"1,108.00","1,117.10",65,266.35,"1,116.60",-,"4,720","-2,798","19,921",
,"39,035","4,917","2,90,820",20.12,2.85,0.20,"2,145",2.80,2.95,"1,365","26,250.00",195,"1,157.75","1,175.65",65,259.50,"1,168.35",-,"1,372",-536,"1,965",
,"99,677","8,240","6,82,773",20.68,2.70,0.40,975,2.70,2.85,845,"26,300.00",65,"1,206.25","1,213.00",65,254.90,"1,215.55",-,"3,537","-1,480","11,938",
,"16,755","1,812","1,52,579",21.38,2.70,0.55,"1,820",2.50,2.70,845,"26,350.00",65,"1,220.55","1,274.45",130,268.35,"1,266.35",-,439,41,783,
,"77,506","6,792","4,77,010",21.91,2.55,0.70,"3,055",2.50,2.55,"3,640","26,400.00",65,"1,309.00","1,314.05",455,288.20,"1,316.80",-,"1,953","-1,298","5,237",
,"11,439",24,"1,56,711",22.55,2.50,0.65,975,2.40,2.65,845,"26,450.00",130,"1,357.10","1,374.65",65,256.50,"1,373.20",19.73,175,-52,416,
,"1,55,374","-7,869","7,44,708",22.85,2.20,0.45,390,2.20,2.30,845,"26,500.00",780,"1,404.95","1,411.60",325,273.20,"1,409.50",-,"9,621","-3,279","18,719",
,"11,965","1,652","93,327",23.39,2.10,0.55,"3,445",2.10,2.20,"1,170","26,550.00",65,"1,457.50","1,474.50",65,186.90,"1,470.00",-,77,-18,228,
,"43,252","-1,002","2,39,188",24.13,2.15,0.70,"5,330",1.95,2.15,"1,430","26,600.00",65,"1,503.35","1,513.10",260,293.90,"1,526.60",26.58,776,-597,"2,182",
,"11,552","2,061","1,00,385",24.65,2.05,0.65,"3,120",2.00,2.10,"1,300","26,650.00",325,"1,514.80","1,574.40",130,209.30,"1,580.90",30.37,2,-,143,
,"40,868","-9,047","2,26,112",25.31,2.05,0.70,"3,510",2.00,2.10,"1,820","26,700.00",65,"1,605.65","1,615.40",65,263.00,"1,619.40",-,336,-115,713,
,"14,207","7,304","1,00,472",25.73,1.90,0.60,"2,275",1.90,2.10,455,"26,750.00",65,"1,651.85","1,693.95",65,170.95,"1,644.00",-,1,-,43,
